price,size,bedrooms,bathrooms,parking spaces,location,address,href
2650000,64,1,1,,Sea Point,"St John's Avenue, Sea Point",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108273854
2615000,47,1,1,,Green Point,169 Main Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108640388
2600000,84,1,1.5,1,Sea Point,361 Main Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108524737
2600000,82,1,1.5,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108479010
2599000,74,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107262763
2595000,60,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108517231
2590000,55,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108463078
2550000,69,1,1,,Green Point,16 Leinster Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108304880
2500000,63,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108563844
2500000,80,2,1,,Sea Point,17 Milner Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107885436
2500000,,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108392410
